,Model A,Model B,Model C
251,squared_snow_drift:idx_2,double_derivative_fresh_snow_3h:cm_dd,double_derivative_dew_or_rime:idx_dd
252,squared_wind_speed_w_1000hPa:ms_2,double_derivative_fresh_snow_6h:cm_dd,double_derivative_elevation:m_dd
253,derivative_elevation:m_d,double_derivative_is_day:idx_dd,double_derivative_fresh_snow_1h:cm_dd
254,derivative_prob_rime:p_d,double_derivative_precip_type_5min:idx_dd,double_derivative_fresh_snow_24h:cm_dd
255,derivative_snow_density:kgm3_d,double_derivative_prob_rime:p_dd,double_derivative_fresh_snow_3h:cm_dd
256,derivative_snow_drift:idx_d,double_derivative_snow_density:kgm3_dd,double_derivative_is_in_shadow:idx_dd
257,derivative_snow_melt_10min:mm_d,double_derivative_snow_depth:cm_dd,double_derivative_msl_pressure:hPa_dd
258,derivative_wind_speed_10m:ms_d,double_derivative_snow_drift:idx_dd,double_derivative_precip_type_5min:idx_dd
259,double_derivative_air_density_2m:kgm3_dd,double_derivative_snow_melt_10min:mm_dd,double_derivative_snow_density:kgm3_dd
260,double_derivative_elevation:m_dd,double_derivative_super_cooled_liquid_water:kgm2_dd,double_derivative_snow_depth:cm_dd
261,double_derivative_fresh_snow_24h:cm_dd,double_derivative_wind_speed_v_10m:ms_dd,double_derivative_snow_drift:idx_dd
